NOTICIA DE REFERENCIA: 
	https://elpais.com/sociedad/2019/12/02/actualidad/1575268228_449028.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia

2019-03-18T12:07:09Z	https://elpais.com/internacional/2019/03/17/actualidad/1552835665_974370.html
2019-03-17T23:00:18Z	https://elpais.com/elpais/2019/03/17/opinion/1552843819_937148.html
2019-03-16T19:17:02Z	https://elpais.com/internacional/2019/03/15/actualidad/1552658089_291509.html
2019-02-19T23:00:00Z	https://elpais.com/elpais/2019/02/19/opinion/1550603400_476245.html
2019-02-15T17:20:13Z	https://elpais.com/politica/2019/02/15/actualidad/1550240581_177937.html
2019-02-15T12:12:19Z	https://elpais.com/politica/2019/02/14/actualidad/1550125678_696420.html
2019-02-13T17:37:29Z	https://elpais.com/politica/2019/02/13/actualidad/1550073823_447267.html
2019-02-10T23:00:47Z	https://elpais.com/elpais/2019/02/06/opinion/1549471702_318099.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + autorNoticia

2019-12-02T10:26:26Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575226197_240379.html
2019-11-30T22:53:58Z	https://elpais.com/sociedad/2019/11/30/actualidad/1575127687_241694.html
2019-11-27T10:48:49Z	https://elpais.com/sociedad/2019/11/24/actualidad/1574621327_638200.html
2019-10-25T15:24:53Z	https://elpais.com/politica/2019/10/24/actualidad/1571919937_983053.html
2019-10-25T09:53:51Z	https://elpais.com/elpais/2019/10/24/opinion/1571935745_356737.html
2019-10-19T16:44:03Z	https://elpais.com/ccaa/2019/10/19/catalunya/1571486439_065194.html
2019-10-19T16:12:18Z	https://elpais.com/ccaa/2019/10/19/catalunya/1571490386_849468.html
2019-10-16T13:22:14Z	https://elpais.com/politica/2019/10/15/actualidad/1571174717_457801.html
2019-10-14T10:49:27Z	https://elpais.com/politica/2019/10/14/actualidad/1571046136_266878.html
2019-10-13T07:29:52Z	https://elpais.com/politica/2019/10/12/actualidad/1570876393_131193.html
2019-10-12T20:16:05Z	https://elpais.com/politica/2019/10/11/actualidad/1570790835_269184.html
2019-10-09T19:38:55Z	https://elpais.com/politica/2019/10/09/actualidad/1570630078_734971.html
2019-10-09T11:53:27Z	https://elpais.com/politica/2019/10/09/actualidad/1570603126_973956.html
2019-10-04T22:14:46Z	https://elpais.com/politica/2019/10/04/actualidad/1570209637_330181.html
2019-10-02T19:53:58Z	https://elpais.com/politica/2019/10/02/actualidad/1570029832_187427.html
2019-10-02T17:16:45Z	https://elpais.com/politica/2019/10/02/actualidad/1570000222_865983.html
2019-03-23T20:20:00Z	https://elpais.com/internacional/2019/03/21/actualidad/1553204042_973277.html
2019-02-15T12:12:19Z	https://elpais.com/politica/2019/02/14/actualidad/1550125678_696420.html
2019-02-13T17:37:29Z	https://elpais.com/politica/2019/02/13/actualidad/1550073823_447267.html
2019-02-13T08:41:40Z	https://elpais.com/politica/2019/02/12/actualidad/1549996308_632843.html
2019-02-12T22:39:59Z	https://elpais.com/politica/2019/02/12/actualidad/1549951060_367114.html
2019-02-12T11:12:03Z	https://elpais.com/politica/2019/02/11/actualidad/1549877571_169751.html
2019-02-06T16:25:31Z	https://elpais.com/politica/2019/02/06/actualidad/1549446845_560313.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + tagsNoticia

2019-12-02T16:41:23Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575216281_908130.html
2019-12-02T16:14:27Z	https://elpais.com/sociedad/2019/12/02/actualidad/1575284241_519772.html
2019-12-02T14:30:08Z	https://elpais.com/internacional/2019/12/02/mundo_global/1575287137_755469.html
2019-12-02T13:53:10Z	https://elpais.com/cultura/2019/12/02/actualidad/1575293116_563277.html
2019-12-02T10:26:26Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575226197_240379.html
2019-12-02T08:16:27Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575197772_341810.html
2019-12-02T08:02:28Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575187979_179292.html
2019-12-02T07:57:56Z	https://elpais.com/sociedad/2019/11/30/actualidad/1575139278_315997.html
2019-12-02T07:57:29Z	https://elpais.com/sociedad/2019/11/29/actualidad/1575022809_157378.html
2019-12-01T23:32:41Z	https://elpais.com/sociedad/2019/11/24/actualidad/1574625811_669555.html
2019-12-01T23:00:57Z	https://elpais.com/elpais/2019/12/01/opinion/1575221485_032258.html
2019-12-01T23:00:00Z	https://elpais.com/elpais/2019/12/01/opinion/1575217702_776463.html
2019-11-30T22:53:58Z	https://elpais.com/sociedad/2019/11/30/actualidad/1575127687_241694.html
2019-11-30T12:13:37Z	https://elpais.com/sociedad/2019/11/29/actualidad/1575060055_430396.html
2019-11-30T07:22:09Z	https://elpais.com/sociedad/2019/11/29/actualidad/1575052843_713181.html
2019-11-29T16:48:29Z	https://elpais.com/sociedad/2019/11/28/actualidad/1574963487_135783.html
2019-11-28T15:53:14Z	https://elpais.com/sociedad/2019/11/28/actualidad/1574934320_885860.html
2019-11-27T13:17:31Z	https://elpais.com/sociedad/2019/11/13/actualidad/1573642954_149954.html
2019-11-27T10:48:49Z	https://elpais.com/sociedad/2019/11/24/actualidad/1574621327_638200.html
2019-11-26T20:00:49Z	https://elpais.com/sociedad/2019/11/26/actualidad/1574791719_143580.html
2019-11-26T08:54:21Z	https://elpais.com/sociedad/2019/11/24/actualidad/1574595025_531338.html
2019-11-26T08:24:36Z	https://elpais.com/sociedad/2019/11/25/actualidad/1574704839_312373.html
2019-10-02T16:15:12Z	https://elpais.com/elpais/2019/10/02/3500_millones/1570030632_871163.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + cuerpoNoticia

2019-12-02T08:16:27Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575197772_341810.html
2019-11-28T15:53:14Z	https://elpais.com/sociedad/2019/11/28/actualidad/1574934320_885860.html
2019-11-26T20:00:49Z	https://elpais.com/sociedad/2019/11/26/actualidad/1574791719_143580.html
2019-10-24T15:24:20Z	https://elpais.com/politica/2019/10/23/actualidad/1571859201_151023.html
2019-10-18T15:53:27Z	https://elpais.com/ccaa/2019/10/17/catalunya/1571343153_755292.html
2019-10-16T23:14:28Z	https://elpais.com/politica/2019/10/16/actualidad/1571210620_205746.html
2019-10-15T20:04:46Z	https://elpais.com/ccaa/2019/10/15/catalunya/1571126070_689008.html
2019-10-14T16:27:04Z	https://elpais.com/politica/2019/10/14/actualidad/1571041641_229924.html
2019-10-13T17:47:38Z	https://elpais.com/politica/2019/10/13/actualidad/1570955000_786613.html
2019-10-09T11:53:27Z	https://elpais.com/politica/2019/10/09/actualidad/1570603126_973956.html
2019-10-05T19:27:58Z	https://elpais.com/politica/2019/10/05/actualidad/1570268682_393221.html
2019-10-05T15:34:28Z	https://elpais.com/politica/2019/10/04/actualidad/1570217154_572999.html
2019-10-04T22:14:46Z	https://elpais.com/politica/2019/10/04/actualidad/1570209637_330181.html
2019-10-04T13:37:46Z	https://elpais.com/politica/2019/10/03/actualidad/1570101299_011437.html
2019-03-24T21:32:20Z	https://elpais.com/internacional/2019/03/22/actualidad/1553255888_370103.html
2019-03-22T23:01:50Z	https://elpais.com/internacional/2019/03/22/actualidad/1553292640_427934.html
2019-03-22T13:54:44Z	https://elpais.com/internacional/2019/03/21/actualidad/1553156753_130649.html
2019-02-15T17:20:13Z	https://elpais.com/politica/2019/02/15/actualidad/1550240581_177937.html
2019-02-12T08:31:45Z	https://elpais.com/politica/2019/02/11/actualidad/1549913698_215397.html
2019-02-08T11:34:56Z	https://elpais.com/politica/2019/02/06/actualidad/1549491920_029554.html
2019-02-04T20:22:56Z	https://elpais.com/ccaa/2019/02/04/catalunya/1549277459_118102.html
2019-02-03T15:37:01Z	https://elpais.com/politica/2019/02/02/actualidad/1549136134_435356.html
2019-02-02T18:03:15Z	https://elpais.com/ccaa/2019/02/02/catalunya/1549109317_249315.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: keywordsNoticia

2019-12-02T16:41:23Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575216281_908130.html
2019-12-02T16:14:27Z	https://elpais.com/sociedad/2019/12/02/actualidad/1575284241_519772.html
2019-12-02T10:26:26Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575226197_240379.html
2019-12-02T08:16:27Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575197772_341810.html
2019-12-02T07:57:56Z	https://elpais.com/sociedad/2019/11/30/actualidad/1575139278_315997.html
2019-11-30T07:22:09Z	https://elpais.com/sociedad/2019/11/29/actualidad/1575052843_713181.html
2019-11-29T16:48:29Z	https://elpais.com/sociedad/2019/11/28/actualidad/1574963487_135783.html
2019-10-24T19:41:48Z	https://elpais.com/politica/2019/10/24/actualidad/1571919877_099051.html
2019-10-16T11:15:20Z	https://elpais.com/elpais/2019/10/16/la_voz_de_inaki/1571207879_040465.html
2019-10-16T10:57:39Z	https://elpais.com/politica/2019/10/15/actualidad/1571125830_325209.html
2019-10-09T11:53:27Z	https://elpais.com/politica/2019/10/09/actualidad/1570603126_973956.html
2019-03-24T21:32:20Z	https://elpais.com/internacional/2019/03/22/actualidad/1553255888_370103.html
2019-03-22T23:01:50Z	https://elpais.com/internacional/2019/03/22/actualidad/1553292640_427934.html
2019-03-18T12:07:09Z	https://elpais.com/internacional/2019/03/17/actualidad/1552835665_974370.html
2019-03-17T23:00:18Z	https://elpais.com/elpais/2019/03/17/opinion/1552843819_937148.html
2019-03-16T19:17:02Z	https://elpais.com/internacional/2019/03/15/actualidad/1552658089_291509.html
2019-02-19T23:00:00Z	https://elpais.com/elpais/2019/02/19/opinion/1550603400_476245.html
2019-02-15T17:20:13Z	https://elpais.com/politica/2019/02/15/actualidad/1550240581_177937.html
2019-02-15T12:12:19Z	https://elpais.com/politica/2019/02/14/actualidad/1550125678_696420.html
2019-02-13T17:37:29Z	https://elpais.com/politica/2019/02/13/actualidad/1550073823_447267.html
2019-02-13T07:46:10Z	https://elpais.com/politica/2019/02/12/actualidad/1549989716_911033.html
2019-02-12T08:31:45Z	https://elpais.com/politica/2019/02/11/actualidad/1549913698_215397.html
2019-02-08T11:34:56Z	https://elpais.com/politica/2019/02/06/actualidad/1549491920_029554.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: keywordsNoticia + resumenNoticia

2019-12-02T16:14:27Z	https://elpais.com/sociedad/2019/12/02/actualidad/1575284241_519772.html
2019-12-02T10:26:26Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575226197_240379.html
2019-12-02T08:16:27Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575197772_341810.html
2019-12-02T07:57:56Z	https://elpais.com/sociedad/2019/11/30/actualidad/1575139278_315997.html
2019-11-30T07:22:09Z	https://elpais.com/sociedad/2019/11/29/actualidad/1575052843_713181.html
2019-11-29T16:48:29Z	https://elpais.com/sociedad/2019/11/28/actualidad/1574963487_135783.html
2019-10-24T19:52:04Z	https://elpais.com/politica/2019/10/22/actualidad/1571766073_275288.html
2019-10-24T19:41:48Z	https://elpais.com/politica/2019/10/24/actualidad/1571919877_099051.html
2019-10-16T11:15:20Z	https://elpais.com/elpais/2019/10/16/la_voz_de_inaki/1571207879_040465.html
2019-10-16T10:57:39Z	https://elpais.com/politica/2019/10/15/actualidad/1571125830_325209.html
2019-10-04T22:14:46Z	https://elpais.com/politica/2019/10/04/actualidad/1570209637_330181.html
