NOTICIA DE REFERENCIA: 
	https://elpais.com/politica/2019/10/20/actualidad/1571575152_143333.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia

2019-10-18T19:17:25Z	https://elpais.com/politica/2019/10/18/actualidad/1571383904_816018.html
2019-10-18T18:19:06Z	https://elpais.com/politica/2019/10/17/actualidad/1571329201_216432.html
2019-10-18T06:52:10Z	https://elpais.com/tecnologia/2019/10/18/actualidad/1571350153_875274.html
2019-10-17T12:07:37Z	https://elpais.com/ccaa/2019/10/17/catalunya/1571295224_497171.html
2019-10-16T23:14:28Z	https://elpais.com/politica/2019/10/16/actualidad/1571210620_205746.html
2019-10-16T17:44:30Z	https://elpais.com/politica/2019/10/15/actualidad/1571151830_085106.html
2019-10-16T13:38:17Z	https://elpais.com/politica/2019/10/15/actualidad/1571167986_617326.html
2019-10-16T09:01:40Z	https://elpais.com/politica/2019/10/15/actualidad/1571162190_293164.html
2019-10-15T20:04:46Z	https://elpais.com/ccaa/2019/10/15/catalunya/1571126070_689008.html
2019-10-15T15:50:44Z	https://elpais.com/elpais/2019/10/14/opinion/1571073527_725640.html
2019-10-15T13:33:27Z	https://elpais.com/politica/2019/10/14/actualidad/1571044139_246355.html
2019-10-15T13:31:40Z	https://elpais.com/politica/2019/10/14/actualidad/1571035086_499740.html
2019-10-15T08:48:37Z	https://elpais.com/politica/2019/10/14/actualidad/1571039837_445353.html
2019-10-14T16:14:50Z	https://elpais.com/politica/2019/10/14/actualidad/1571035592_144762.html
2019-10-13T13:36:57Z	https://elpais.com/politica/2019/10/13/actualidad/1570960689_497344.html
2019-10-11T09:33:25Z	https://elpais.com/politica/2019/10/10/actualidad/1570716387_469702.html
2019-10-11T06:48:20Z	https://elpais.com/politica/2019/10/10/actualidad/1570691828_543166.html
2019-10-04T19:53:44Z	https://elpais.com/politica/2019/10/04/actualidad/1570213436_513464.html
2019-10-04T19:35:42Z	https://elpais.com/politica/2019/10/04/actualidad/1570181369_310107.html
2019-10-02T17:56:23Z	https://elpais.com/politica/2019/10/02/actualidad/1570033740_848051.html
2019-03-23T20:20:00Z	https://elpais.com/internacional/2019/03/21/actualidad/1553204042_973277.html
2019-03-22T13:54:44Z	https://elpais.com/internacional/2019/03/21/actualidad/1553156753_130649.html
2019-03-20T16:30:54Z	https://elpais.com/internacional/2019/03/20/actualidad/1553069173_518937.html
2019-03-19T07:24:09Z	https://elpais.com/internacional/2019/03/18/actualidad/1552925250_639691.html
2019-03-18T12:07:09Z	https://elpais.com/internacional/2019/03/17/actualidad/1552835665_974370.html
2019-03-15T07:07:30Z	https://elpais.com/internacional/2019/03/14/actualidad/1552561404_705167.html
2019-03-14T08:15:28Z	https://elpais.com/internacional/2019/03/13/actualidad/1552499781_767615.html
2019-02-21T07:34:08Z	https://elpais.com/politica/2019/02/20/actualidad/1550695156_028877.html
2019-02-21T01:43:23Z	https://elpais.com/politica/2019/02/20/actualidad/1550645622_943993.html
2019-02-20T19:00:37Z	https://elpais.com/politica/2019/02/20/actualidad/1550666027_300702.html
2019-02-20T18:48:53Z	https://elpais.com/politica/2019/02/19/actualidad/1550616373_013175.html
2019-02-20T18:48:27Z	https://elpais.com/politica/2019/02/19/actualidad/1550606291_002611.html
2019-02-19T22:22:59Z	https://elpais.com/politica/2019/02/19/actualidad/1550557149_451855.html
2019-02-19T15:31:25Z	https://elpais.com/politica/2019/02/19/actualidad/1550576628_518360.html
2019-02-15T17:20:13Z	https://elpais.com/politica/2019/02/15/actualidad/1550240581_177937.html
2019-02-15T12:12:19Z	https://elpais.com/politica/2019/02/14/actualidad/1550125678_696420.html
2019-02-15T07:38:25Z	https://elpais.com/elpais/2019/02/14/opinion/1550169728_099422.html
2019-02-15T07:08:29Z	https://elpais.com/politica/2019/02/14/actualidad/1550142450_986324.html
2019-02-14T19:55:36Z	https://elpais.com/elpais/2019/02/14/videos/1550154864_076313.html
2019-02-14T18:39:05Z	https://elpais.com/politica/2019/02/14/actualidad/1550145888_752607.html
2019-02-14T16:13:37Z	https://elpais.com/politica/2019/02/14/actualidad/1550138047_517180.html
2019-02-14T09:06:38Z	https://elpais.com/politica/2019/02/13/actualidad/1550095483_534270.html
2019-02-14T07:51:22Z	https://elpais.com/politica/2019/02/13/actualidad/1550057763_018605.html
2019-02-13T23:00:44Z	https://elpais.com/elpais/2019/02/13/opinion/1550089251_630005.html
2019-02-13T17:37:29Z	https://elpais.com/politica/2019/02/13/actualidad/1550073823_447267.html
2019-02-13T11:37:12Z	https://elpais.com/politica/2019/02/12/actualidad/1549991521_311244.html
2019-02-13T09:15:46Z	https://elpais.com/politica/2019/02/12/actualidad/1549997265_228721.html
2019-02-12T23:32:38Z	https://elpais.com/politica/2019/02/12/actualidad/1550002578_383921.html
2019-02-12T14:13:02Z	https://elpais.com/politica/2019/02/12/actualidad/1549969168_550020.html
2019-02-12T09:32:17Z	https://elpais.com/ccaa/2019/02/11/catalunya/1549915314_056223.html
2019-02-11T12:52:30Z	https://elpais.com/elpais/2019/02/08/videos/1549643796_011112.html
2019-02-04T20:22:56Z	https://elpais.com/ccaa/2019/02/04/catalunya/1549277459_118102.html
2019-02-01T20:10:37Z	https://elpais.com/politica/2019/02/01/actualidad/1549016626_676859.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + autorNoticia

2019-10-18T19:17:25Z	https://elpais.com/politica/2019/10/18/actualidad/1571383904_816018.html
2019-10-18T06:52:10Z	https://elpais.com/tecnologia/2019/10/18/actualidad/1571350153_875274.html
2019-10-17T20:50:09Z	https://elpais.com/politica/2019/10/17/actualidad/1571330455_082061.html
2019-10-17T19:07:18Z	https://elpais.com/politica/2019/10/17/actualidad/1571305838_467418.html
2019-10-16T13:38:17Z	https://elpais.com/politica/2019/10/15/actualidad/1571167986_617326.html
2019-10-16T09:01:40Z	https://elpais.com/politica/2019/10/15/actualidad/1571162190_293164.html
2019-10-15T13:33:27Z	https://elpais.com/politica/2019/10/14/actualidad/1571044139_246355.html
2019-10-15T13:31:40Z	https://elpais.com/politica/2019/10/14/actualidad/1571035086_499740.html
